unit_id,ROI,hemisphere,mean_x,mean_y,ecc,sigma,mean_R2,voxels,Real_local_cos,Random_local_cos,delta_local_cos,Real_localization_MRR,Random_localization_MRR,delta_localization_MRR,Real_sample_MRR,Random_sample_MRR,delta_sample_MRR
V3_right_u005,V3,right,-3.671018213033676,-2.660456505417824,4.635410022735596,0.3842089283047244,49.154740834236144,40,0.6647956967353821,0.6647708415985107,2.485513687133789e-05,0.14294831849528308,0.14426358473508732,-0.0013152662398042414,0.03577001329115731,0.031999237599651606,0.003770775691505704
V3_right_u006,V3,right,-6.432072246775908,-0.8029199158267789,6.600969987757066,0.9865323410314673,33.90598813225241,17,0.6655636429786682,0.6672850251197815,-0.0017213821411132812,0.14605041679977085,0.14485159748328566,0.001198819316485189,0.032083180653109694,0.031036360159764118,0.0010468204933455766
V3_right_u007,V3,right,-5.239130407571793,3.932383269071579,6.665068998932838,1.2883471613749862,50.45258378982544,32,0.6778870820999146,0.6785500645637512,-0.0006629824638366699,0.14333436771224994,0.1371145109884374,0.0062198567238125335,0.03648135777141079,0.029130647101015025,0.007350710670395763
hV4_left_u000,hV4,left,0.20981981939985417,0.28169421980467935,0.4634298098972067,0.128040873457212,37.25241077740987,120,0.47242501378059387,0.4693489670753479,0.0030760467052459717,0.03571840577183072,0.03584634029268989,-0.00012793452085917145,0.061461805319926635,0.05718282196418387,0.004278983355742762
hV4_left_u001,hV4,left,1.583378781412923,0.4266761395871114,1.8358078938583995,0.44909186698604636,43.74935152364332,86,0.6315870881080627,0.6319228410720825,-0.0003357529640197754,0.17333089898192702,0.18404236145085848,-0.010711462468931454,0.046113669752277577,0.05556009215886926,-0.009446422406591687
hV4_left_u002,hV4,left,2.241897804889123,3.7253535051603577,4.566974027736767,0.6235865547850326,45.237183673961745,37,0.709272027015686,0.7079811692237854,0.0012908577919006348,0.2783438267147224,0.27664424283972694,0.0016995838749954695,0.034166514150966915,0.026831322085271895,0.00733519206569502
hV4_left_u003,hV4,left,3.3270387990134105,-3.739525411810194,5.074222905295236,0.496017742868779,39.820222582135884,14,0.656809389591217,0.6555842161178589,0.0012251734733581543,0.11001875730565087,0.11019842531319413,-0.00017966800754325163,0.02920066905252577,0.03317170243359146,-0.003971033381065688
hV4_left_u004,hV4,left,5.927716708183288,-0.5338220179080964,6.037162351608276,0.5068768873810768,44.70579452514649,20,0.6022889018058777,0.6014692187309265,0.0008196830749511719,0.06789894516177654,0.06786579233901915,3.3152822757384626e-05,0.02541543240042263,0.03056169568580674,-0.00514626328538411
hV4_right_u000,hV4,right,-0.7302557635271261,-0.2591975114623746,0.9995719982731727,0.2792515810616615,35.41349107219327,124,0.5745452046394348,0.5777423977851868,-0.003197193145751953,0.09738739526876466,0.10762863256891585,-0.010241237300151182,0.05661680005907094,0.07036535805444696,-0.013748557995376026
hV4_right_u001,hV4,right,-1.6794843831915913,1.447572125006973,2.362418754601184,0.5459929555654526,61.145331830154234,81,0.6648412942886353,0.6626588106155396,0.002182483673095703,0.21035592834222872,0.18468819264660877,0.025667735695619948,0.05108508798579173,0.04773798917533602,0.0033470988104557092
hV4_right_u002,hV4,right,-4.87288354790729,0.5611882131830181,5.047847146573274,1.2466893558916838,49.31317478677501,23,0.6965513825416565,0.6960596442222595,0.0004917383193969727,0.2202347827567264,0.225936629818181,-0.005701847061454601,0.03156742110238319,0.03227723887703421,-0.0007098177746510184
hV4_right_u003,hV4,right,-2.879437332803553,3.998315529389815,5.023352828892794,0.8156319558620453,56.30948933688077,22,0.6900470852851868,0.6883528232574463,0.0016942620277404785,0.16131225041742486,0.15800806185259855,0.0033041885648263103,0.03160922213032556,0.03056847946805032,0.0010407426622752423
hV4_right_u004,hV4,right,-3.66003181040287,-3.9474651217460632,5.521622031927109,0.8546008937992156,34.15467357635498,16,0.6627708077430725,0.6648454070091248,-0.002074599266052246,0.12245187591274657,0.12493297857932395,-0.0024811026665773755,0.02659394762324006,0.03117649009910803,-0.0045825424758679685
