unit_id,ROI,hemisphere,mean_x,mean_y,ecc,sigma,mean_R2,voxels,local_cos,local_mse,localization_r1,localization_r5,localization_mrr,sample_r1,sample_r5,sample_mrr,locality_gap
V3_right_u007,V3,right,-5.239130407571793,3.932383269071579,6.665068998932838,1.2883471613749862,50.45258378982544,32,0.6778870820999146,0.1152118444442749,0.03666666666666667,0.19,0.14333436771224994,0.013333333333333334,0.03,0.03648135777141079,-0.06072951480746269
hV4_left_u000,hV4,left,0.20981981939985417,0.28169421980467935,0.4634298098972067,0.128040873457212,37.25241077740987,120,0.47242501378059387,0.20990830659866333,0.0,0.016666666666666666,0.03571840577183072,0.023333333333333334,0.06666666666666667,0.061461805319926635,-0.17471808195114136
hV4_left_u001,hV4,left,1.583378781412923,0.4266761395871114,1.8358078938583995,0.44909186698604636,43.74935152364332,86,0.6315870881080627,0.10372653603553772,0.07666666666666666,0.22,0.17333089898192702,0.01,0.04666666666666667,0.046113669752277577,-0.10678086429834366
hV4_left_u002,hV4,left,2.241897804889123,3.7253535051603577,4.566974027736767,0.6235865547850326,45.237183673961745,37,0.709272027015686,0.10919268429279327,0.15333333333333332,0.37,0.2783438267147224,0.01,0.03333333333333333,0.034166514150966915,-0.03984434902667999
hV4_left_u003,hV4,left,3.3270387990134105,-3.739525411810194,5.074222905295236,0.496017742868779,39.820222582135884,14,0.656809389591217,0.1220763623714447,0.02666666666666667,0.12,0.11001875730565087,0.006666666666666667,0.02,0.02920066905252577,-0.10288766026496887
hV4_left_u004,hV4,left,5.927716708183288,-0.5338220179080964,6.037162351608276,0.5068768873810768,44.70579452514649,20,0.6022889018058777,0.16183967888355255,0.013333333333333334,0.06666666666666667,0.06789894516177654,0.006666666666666667,0.016666666666666666,0.02541543240042263,-0.14218096435070038
hV4_right_u000,hV4,right,-0.7302557635271261,-0.2591975114623746,0.9995719982731727,0.2792515810616615,35.41349107219327,124,0.5745452046394348,0.12816046178340912,0.02,0.10666666666666667,0.09738739526876466,0.013333333333333334,0.06333333333333334,0.05661680005907094,-0.1199263259768486
hV4_right_u001,hV4,right,-1.6794843831915913,1.447572125006973,2.362418754601184,0.5459929555654526,61.145331830154234,81,0.6648412942886353,0.09679516404867172,0.09666666666666666,0.2966666666666667,0.21035592834222872,0.016666666666666666,0.06,0.05108508798579173,-0.08012973517179489
hV4_right_u002,hV4,right,-4.87288354790729,0.5611882131830181,5.047847146573274,1.2466893558916838,49.31317478677501,23,0.6965513825416565,0.09135586768388748,0.08333333333333333,0.32,0.2202347827567264,0.006666666666666667,0.03,0.03156742110238319,-0.07162044197320938
hV4_right_u003,hV4,right,-2.879437332803553,3.998315529389815,5.023352828892794,0.8156319558620453,56.30948933688077,22,0.6900470852851868,0.11400159448385239,0.03666666666666667,0.25333333333333335,0.16131225041742486,0.006666666666666667,0.02666666666666667,0.03160922213032556,-0.058043207973241806
hV4_right_u004,hV4,right,-3.66003181040287,-3.9474651217460632,5.521622031927109,0.8546008937992156,34.15467357635498,16,0.6627708077430725,0.12210220098495483,0.03,0.15666666666666668,0.12245187591274657,0.006666666666666667,0.023333333333333334,0.02659394762324006,-0.09364072233438492
