fold,train_count,heldout_count,roi,clip_layer,mean_oof_cosine_quality,mean_oof_cost,std_oof_cost_ddof1
0,4108,1027,PPA,L12,0.7926122546195984,0.2073877453804016,0.054506342858076096
0,4108,1027,PPA,L16,0.8391542285680771,0.1608457714319229,0.045906439423561096
0,4108,1027,PPA,L20,0.8092374950647354,0.1907625049352646,0.04799780249595642
0,4108,1027,PPA,L24,0.9028577506542206,0.09714224934577942,0.02204900048673153
0,4108,1027,OPA,L4,0.8349595814943314,0.16504041850566864,0.07149593532085419
0,4108,1027,OPA,L8,0.7658943384885788,0.2341056615114212,0.07773149758577347
0,4108,1027,OPA,L12,0.7982437461614609,0.20175625383853912,0.05360792204737663
0,4108,1027,OPA,L16,0.8416484445333481,0.15835155546665192,0.04637995362281799
0,4108,1027,OPA,L20,0.8104269802570343,0.1895730197429657,0.04905691742897034
0,4108,1027,OPA,L24,0.9032801687717438,0.09671983122825623,0.0218356903642416
1,4108,1027,V1,L4,0.8313436061143875,0.1686563938856125,0.0703069195151329
1,4108,1027,V1,L8,0.750391885638237,0.249608114361763,0.07904362678527832
1,4108,1027,V1,L12,0.7688041478395462,0.2311958521604538,0.06171424686908722
1,4108,1027,V1,L16,0.8164150565862656,0.18358494341373444,0.05584477633237839
1,4108,1027,V1,L20,0.7874880135059357,0.21251198649406433,0.05743289738893509
1,4108,1027,V1,L24,0.8928419798612595,0.10715802013874054,0.024583827704191208
1,4108,1027,V2,L4,0.8364676535129547,0.1635323464870453,0.06482287496328354
1,4108,1027,V2,L8,0.7588621824979782,0.2411378175020218,0.07313597947359085
1,4108,1027,V2,L12,0.7749233841896057,0.2250766158103943,0.05980055034160614
1,4108,1027,V2,L16,0.8198454231023788,0.18015457689762115,0.05497760698199272
1,4108,1027,V2,L20,0.7903577387332916,0.20964226126670837,0.05754784494638443
1,4108,1027,V2,L24,0.8939949050545692,0.10600509494543076,0.025298545137047768
1,4108,1027,V3,L4,0.8357531130313873,0.16424688696861267,0.06586505472660065
1,4108,1027,V3,L8,0.7656310051679611,0.23436899483203888,0.07001779228448868
1,4108,1027,V3,L12,0.7874693125486374,0.2125306874513626,0.053218550980091095
1,4108,1027,V3,L16,0.8297799974679947,0.1702200025320053,0.04952333867549896
1,4108,1027,V3,L20,0.7979314625263214,0.2020685374736786,0.053320206701755524
1,4108,1027,V3,L24,0.8975219950079918,0.10247800499200821,0.023918312042951584
1,4108,1027,hV4,L4,0.8366927355527878,0.16330726444721222,0.06396327912807465
1,4108,1027,hV4,L8,0.7655040323734283,0.23449596762657166,0.06849635392427444
1,4108,1027,hV4,L12,0.7875290364027023,0.21247096359729767,0.050838224589824677
1,4108,1027,hV4,L16,0.8299963176250458,0.17000368237495422,0.04814504086971283
1,4108,1027,hV4,L20,0.7997386306524277,0.20026136934757233,0.050947196781635284
1,4108,1027,hV4,L24,0.8980182930827141,0.10198170691728592,0.023535078391432762
1,4108,1027,FFA,L4,0.8295385986566544,0.17046140134334564,0.06981927156448364
1,4108,1027,FFA,L8,0.7616259902715683,0.2383740097284317,0.07285615056753159
1,4108,1027,FFA,L12,0.7916057705879211,0.20839422941207886,0.05197930708527565
1,4108,1027,FFA,L16,0.8377500176429749,0.16224998235702515,0.046659551560878754
1,4108,1027,FFA,L20,0.8078098297119141,0.19219017028808594,0.04968228563666344
1,4108,1027,FFA,L24,0.9031277969479561,0.09687220305204391,0.022175276651978493
1,4108,1027,EBA,L4,0.8225696980953217,0.17743030190467834,0.07277502119541168
1,4108,1027,EBA,L8,0.7566730827093124,0.24332691729068756,0.07480991631746292
1,4108,1027,EBA,L12,0.7943113446235657,0.20568865537643433,0.05058032274246216
1,4108,1027,EBA,L16,0.8422043770551682,0.15779562294483185,0.045103754848241806
1,4108,1027,EBA,L20,0.8126394599676132,0.18736054003238678,0.04796130210161209
1,4108,1027,EBA,L24,0.9051902443170547,0.09480975568294525,0.021593127399683
1,4108,1027,PPA,L4,0.8320895284414291,0.16791047155857086,0.07026613503694534
1,4108,1027,PPA,L8,0.766203373670578,0.233796626329422,0.0739968791604042
1,4108,1027,PPA,L12,0.7973666340112686,0.20263336598873138,0.05200577154755592
1,4108,1027,PPA,L16,0.8418955951929092,0.15810440480709076,0.045652344822883606
1,4108,1027,PPA,L20,0.8107516020536423,0.18924839794635773,0.04958399385213852
1,4108,1027,PPA,L24,0.9039454460144043,0.0960545539855957,0.02285127155482769
1,4108,1027,OPA,L4,0.8310211449861526,0.16897885501384735,0.0683979019522667
1,4108,1027,OPA,L8,0.7658207714557648,0.23417922854423523,0.07224901765584946
1,4108,1027,OPA,L12,0.7977796792984009,0.20222032070159912,0.0506017729640007
1,4108,1027,OPA,L16,0.8410531282424927,0.15894687175750732,0.04439224302768707
1,4108,1027,OPA,L20,0.8097614645957947,0.19023853540420532,0.04833807051181793
1,4108,1027,OPA,L24,0.9033945947885513,0.09660540521144867,0.02210572361946106
2,4108,1027,V1,L4,0.8303786963224411,0.1696213036775589,0.07132142782211304
2,4108,1027,V1,L8,0.7456290125846863,0.2543709874153137,0.08248583972454071
2,4108,1027,V1,L12,0.7657831162214279,0.23421688377857208,0.06434228271245956
2,4108,1027,V1,L16,0.8150798827409744,0.18492011725902557,0.05650249123573303
2,4108,1027,V1,L20,0.7862124443054199,0.21378755569458008,0.05786263570189476
2,4108,1027,V1,L24,0.8915465325117111,0.10845346748828888,0.024910325184464455
2,4108,1027,V2,L4,0.836191788315773,0.163808211684227,0.06544165313243866
2,4108,1027,V2,L8,0.7535549849271774,0.24644501507282257,0.07634460180997849
2,4108,1027,V2,L12,0.770994558930397,0.22900544106960297,0.06291405111551285
2,4108,1027,V2,L16,0.818075492978096,0.181924507021904,0.056753046810626984
2,4108,1027,V2,L20,0.7886122912168503,0.21138770878314972,0.0571925975382328
2,4108,1027,V2,L24,0.8927557915449142,0.10724420845508575,0.024645734578371048
2,4108,1027,V3,L4,0.8365076631307602,0.1634923368692398,0.06609125435352325
2,4108,1027,V3,L8,0.7634483426809311,0.2365516573190689,0.07476135343313217
2,4108,1027,V3,L12,0.7858496904373169,0.2141503095626831,0.057113997638225555
2,4108,1027,V3,L16,0.8281195014715195,0.17188049852848053,0.05199936777353287
2,4108,1027,V3,L20,0.7960940599441528,0.20390594005584717,0.05352320522069931
2,4108,1027,V3,L24,0.8963232338428497,0.10367676615715027,0.024185022339224815
2,4108,1027,hV4,L4,0.8397916108369827,0.16020838916301727,0.06573834270238876
2,4108,1027,hV4,L8,0.7652235776185989,0.23477642238140106,0.07273364812135696
2,4108,1027,hV4,L12,0.7868683040142059,0.21313169598579407,0.055849138647317886
2,4108,1027,hV4,L16,0.8299285173416138,0.17007148265838623,0.050898704677820206
2,4108,1027,hV4,L20,0.7986167818307877,0.20138321816921234,0.052031151950359344
2,4108,1027,hV4,L24,0.897395521402359,0.10260447859764099,0.02373119443655014
2,4108,1027,FFA,L4,0.8285468071699142,0.17145319283008575,0.06954346597194672
2,4108,1027,FFA,L8,0.7552988529205322,0.24470114707946777,0.07624436914920807
2,4108,1027,FFA,L12,0.7871840745210648,0.21281592547893524,0.05566464737057686
2,4108,1027,FFA,L16,0.8352710008621216,0.16472899913787842,0.04861022159457207
2,4108,1027,FFA,L20,0.8057980984449387,0.19420190155506134,0.0495290607213974
2,4108,1027,FFA,L24,0.90103679895401,0.09896320104598999,0.02261725440621376
2,4108,1027,EBA,L4,0.8220498114824295,0.1779501885175705,0.07612963020801544
2,4108,1027,EBA,L8,0.7540293484926224,0.24597065150737762,0.08278148621320724
2,4108,1027,EBA,L12,0.7923150956630707,0.20768490433692932,0.055475592613220215
2,4108,1027,EBA,L16,0.8411315530538559,0.1588684469461441,0.04660030081868172
2,4108,1027,EBA,L20,0.8102688938379288,0.18973110616207123,0.0480303019285202
2,4108,1027,EBA,L24,0.9033162295818329,0.09668377041816711,0.022310351952910423
2,4108,1027,PPA,L4,0.8312569856643677,0.16874301433563232,0.06961801648139954
2,4108,1027,PPA,L8,0.7606858760118484,0.23931412398815155,0.07580215483903885
2,4108,1027,PPA,L12,0.793428361415863,0.20657163858413696,0.05387578159570694
2,4108,1027,PPA,L16,0.8403213620185852,0.1596786379814148,0.046187885105609894
2,4108,1027,PPA,L20,0.8095523715019226,0.1904476284980774,0.04816379398107529
2,4108,1027,PPA,L24,0.9032565504312515,0.09674344956874847,0.021612515673041344
2,4108,1027,OPA,L4,0.8357002586126328,0.16429974138736725,0.0688135102391243
2,4108,1027,OPA,L8,0.7673337161540985,0.2326662838459015,0.07601573318243027
2,4108,1027,OPA,L12,0.7990965396165848,0.20090346038341522,0.05327537655830383
2,4108,1027,OPA,L16,0.841755211353302,0.158244788646698,0.04622294381260872
2,4108,1027,OPA,L20,0.8095970302820206,0.19040296971797943,0.04929136484861374
2,4108,1027,OPA,L24,0.9027782455086708,0.0972217544913292,0.02215881086885929
3,4108,1027,V1,L4,0.8302962332963943,0.16970376670360565,0.07004430145025253
3,4108,1027,V1,L8,0.7471611499786377,0.2528388500213623,0.08011158555746078
3,4108,1027,V1,L12,0.7664467990398407,0.2335532009601593,0.06319190561771393
3,4108,1027,V1,L16,0.8145191222429276,0.18548087775707245,0.05635673552751541
3,4108,1027,V1,L20,0.7867008000612259,0.2132991999387741,0.05828690901398659
3,4108,1027,V1,L24,0.8927885144948959,0.10721148550510406,0.02466525323688984
3,4108,1027,V2,L4,0.8360228687524796,0.16397713124752045,0.0640946701169014
3,4108,1027,V2,L8,0.7559651285409927,0.24403487145900726,0.07190989702939987
3,4108,1027,V2,L12,0.7726325243711472,0.22736747562885284,0.05889108404517174
3,4108,1027,V2,L16,0.8179949820041656,0.18200501799583435,0.055371444672346115
3,4108,1027,V2,L20,0.7889898419380188,0.2110101580619812,0.05844398960471153
3,4108,1027,V2,L24,0.8939446210861206,0.1060553789138794,0.0244998037815094
3,4108,1027,V3,L4,0.8390496522188187,0.16095034778118134,0.06416807323694229
3,4108,1027,V3,L8,0.767333909869194,0.23266609013080597,0.07177717238664627
3,4108,1027,V3,L12,0.7887688279151917,0.21123117208480835,0.05575001239776611
3,4108,1027,V3,L16,0.8294224590063095,0.1705775409936905,0.05308967083692551
3,4108,1027,V3,L20,0.7974649369716644,0.20253506302833557,0.0567641407251358
3,4108,1027,V3,L24,0.8980286791920662,0.10197132080793381,0.023847999051213264
3,4108,1027,hV4,L4,0.8403825163841248,0.15961748361587524,0.062208663672208786
3,4108,1027,hV4,L8,0.7675033956766129,0.23249660432338715,0.06799629330635071
3,4108,1027,hV4,L12,0.7881145179271698,0.2118854820728302,0.0528656430542469
3,4108,1027,hV4,L16,0.8290583789348602,0.17094162106513977,0.05129769444465637
3,4108,1027,hV4,L20,0.797796756029129,0.20220324397087097,0.05472655966877937
3,4108,1027,hV4,L24,0.8984059542417526,0.10159404575824738,0.0230840016156435
